game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570499,MLB,tor,min,,,Target Field,"Minneapolis, Minnesota",,,,38544,,,,,,,,,,,,,,,,8:10 PM,"August 30, 2024"
401570486,MLB,bal,col,,,Coors Field,"Denver, Colorado",,,,50144,,,,,,,,,,,,,,,,8:40 PM,"August 30, 2024"
401570497,MLB,sea,laa,,,Angel Stadium,"Anaheim, California",,,,45517,,,,,,,,,,,,,,,,9:38 PM,"August 30, 2024"
401570490,MLB,lad,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,9:40 PM,"August 30, 2024"
401570491,MLB,mia,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,10:15 PM,"August 30, 2024"
401570513,MLB,stl,nyy,,,Yankee Stadium,"Bronx, New York",,,,47309,,,,,,,,,,,,,,,,1:05 PM,"August 31, 2024"
401570503,MLB,chc,wsh,,,Nationals Park,"Washington, District of Columbia",,,,41376,,,,,,,,,,,,,,,,4:05 PM,"August 31, 2024"
401570511,MLB,sd,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,4:10 PM,"August 31, 2024"
401570502,MLB,bos,det,,,Comerica Park,"Detroit, Michigan",,,,41083,,,,,,,,,,,,,,,,6:10 PM,"August 31, 2024"
401570510,MLB,pit,cle,,,Progressive Field,"Cleveland, Ohio",,,,34788,,,,,,,,,,,,,,,,6:10 PM,"August 31, 2024"
401570509,MLB,oak,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,7:05 PM,"August 31, 2024"
401570504,MLB,kc,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,7:10 PM,"August 31, 2024"
401570508,MLB,nym,chw,,,Guaranteed Rate Field,"Chicago, Illinois",,,,40241,,,,,,,,,,,,,,,,7:10 PM,"August 31, 2024"
401570514,MLB,tor,min,,,Target Field,"Minneapolis, Minnesota",,,,38544,,,,,,,,,,,,,,,,7:10 PM,"August 31, 2024"
401570500,MLB,atl,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,7:15 PM,"August 31, 2024"
401570507,MLB,mil,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,7:15 PM,"August 31, 2024"
401570501,MLB,bal,col,,,Coors Field,"Denver, Colorado",,,,50144,,,,,,,,,,,,,,,,8:10 PM,"August 31, 2024"
401570505,MLB,lad,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,8:10 PM,"August 31, 2024"
401570506,MLB,mia,sf,,,Oracle Park,"San Francisco, California",,,,41915,,,,,,,,,,,,,,,,9:05 PM,"August 31, 2024"
401570512,MLB,sea,laa,,,Angel Stadium,"Anaheim, California",,,,45517,,,,,,,,,,,,,,,,9:38 PM,"August 31, 2024"
