game_id,league,away_team,home_team,location,tv_coverage,betting_line,betting_over_under,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date,game_month,game_day,game_year,away_team_name,away_team_mascot,primary_color_x,secondary_color_x,accent_color_x,away_team_logo,away_team_conference,away_team_conference_wins,away_team_conference_losses,away_team_conference_ties,away_team_overall_wins,away_team_overall_losses,away_team_overall_ties,home_team_name,home_team_mascot,primary_color_y,secondary_color_y,accent_color_y,home_team_logo,home_team_conference,home_team_conference_wins,home_team_conference_losses,home_team_conference_ties,home_team_overall_wins,home_team_overall_losses,home_team_overall_ties,location_id,stadium,stadium_capacity,city,state,latitude,longitude
401645318,CFB,2466,202,21,Coverage: ESPN+,,,16483,,,14,0,0,14,0.0,28,14,27,7,14,0.0,62,8:00 PM,"August 29, 2024",8.0,29.0,2024.0,Northwestern State,Demons,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png,Southland,0.0,0.0,0.0,0.0,0.0,0.0,Tulsa,Golden Hurricane,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png,American,0.0,0.0,0.0,0.0,0.0,0.0,21,Chapman Stadium,0,Tulsa,OK,33.79430875,-117.85098443268058
401628448,CFB,153,135,22,Coverage: FOX,,,50805,,,0,7,6,6,0.0,19,0,14,0,3,0.0,17,9:00 PM,"August 29, 2024",8.0,29.0,2024.0,North Carolina,Tar Heels,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0,Minnesota,Golden Gophers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,22,Huntington Bank Stadium,0,Minneapolis,MN,44.97653965,-93.2231906824895
401636387,CFB,2296,2433,23,Coverage: ESPN+,,,11145,,,0,7,7,0,0.0,14,7,7,7,9,0.0,30,9:00 PM,"August 29, 2024",8.0,29.0,2024.0,Jackson State,Tigers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2296.png,SWAC,0.0,0.0,0.0,0.0,0.0,0.0,UL Monroe,Warhawks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0,23,Malone Stadium,0,Monroe,LA,32.530899250000004,-92.06603958121342
401654845,CFB,2197,356,24,Coverage: BTN,,,43849,,,0,0,0,0,0.0,0,14,17,7,7,0.0,45,9:15 PM,"August 29, 2024",8.0,29.0,2024.0,Eastern Illinois,Panthers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png,Big South-OVC,0.0,0.0,0.0,0.0,0.0,0.0,Illinois,Fighting Illini,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,24,"Memorial Stadium (Champaign, IL)",0,Champaign,IL,40.09928615,-88.23674977880262
401643698,CFB,16,23,25,Coverage: truTV/Max,,,13811,,,14,3,7,0,0.0,24,7,7,7,21,0.0,42,10:00 PM,"August 29, 2024",8.0,29.0,2024.0,Sacramento State,Hornets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0,San José State,Spartans,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/23.png,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0,25,CEFCU Stadium,0,San Jose,CA,37.319689499999996,-121.86831393740505
401628328,CFB,218,201,26,Coverage: ESPN,,,83329,,,0,0,3,0,0.0,3,17,17,3,14,0.0,51,7:00 PM,"August 30, 2024",8.0,30.0,2024.0,Temple,Owls,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png,American,0.0,0.0,0.0,0.0,0.0,0.0,Oklahoma,Sooners,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,26,"Memorial Stadium (Norman, OK)",0,Norman,OK,35.2056786,-97.441540475
401645319,CFB,2329,349,27,Coverage: CBSSN,,,23760,,,7,0,0,0,0.0,7,7,14,7,14,0.0,42,6:00 PM,"August 30, 2024",8.0,30.0,2024.0,Lehigh,Mountain Hawks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2329.png,Patriot,0.0,0.0,0.0,0.0,0.0,0.0,Army,Black Knights,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png,American,0.0,0.0,0.0,0.0,0.0,0.0,27,Michie Stadium,0,West Point,NY,41.3875623,-73.96418970621724
401628453,CFB,2226,127,28,Coverage: BTN,,,70271,,,0,3,7,0,0.0,10,2,14,0,0,0.0,16,7:00 PM,"August 30, 2024",8.0,30.0,2024.0,Florida Atlantic,Owls,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png,American,0.0,0.0,0.0,0.0,0.0,0.0,Michigan State,Spartans,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,28,Spartan Stadium,0,East Lansing,MI,37.319689499999996,-121.86831393740505
401628584,CFB,2210,150,29,Coverage: ACC Network,,,18466,,,0,0,0,3,0.0,3,3,7,9,7,0.0,26,7:30 PM,"August 30, 2024",8.0,30.0,2024.0,Elon,Phoenix,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0,Duke,Blue Devils,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0,29,Wallace Wade Stadium,0,Durham,NC,35.995445849999996,-78.94188924076411
401628461,CFB,2711,275,30,Coverage: FS1,,,75158,,,0,7,0,7,0.0,14,0,10,3,15,0.0,28,9:00 PM,"August 30, 2024",8.0,30.0,2024.0,Western Michigan,Broncos,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,Wisconsin,Badgers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,30,Camp Randall Stadium,0,Madison,WI,43.07007075,-89.41185545675701
401634300,CFB,2628,24,31,Coverage: ESPN,,,36026,,,7,3,10,14,0.0,34,7,10,0,10,0.0,27,10:30 PM,"August 30, 2024",8.0,30.0,2024.0,TCU,Horned Frogs,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0,Stanford,Cardinal,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0,31,Stanford Stadium,0,Stanford,CA,37.43453005,-122.16116296732366
401628323,CFB,228,61,32,Coverage: ABC/ESPN+,,,78827,,,0,0,3,0,0.0,3,0,6,14,14,0.0,34,12:00 PM,"August 31, 2024",8.0,31.0,2024.0,Clemson,Tigers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0,Georgia,Bulldogs,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,32,Mercedes-Benz Stadium,0,Atlanta,GA,33.7554123,-84.40084932004368
401628455,CFB,2006,194,33,Coverage: CBS/Paramount+,,,102011,,,3,0,3,0,0.0,6,7,10,21,14,0.0,52,3:30 PM,"August 31, 2024",8.0,31.0,2024.0,Akron,Zips,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,Ohio State,Buckeyes,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,33,Ohio Stadium,0,Columbus,OH,40.00164575,-83.01973744224524
401628456,CFB,70,2483,34,Coverage: BTN,,,57435,,,0,0,7,7,0.0,14,7,7,0,10,0.0,24,7:30 PM,"August 31, 2024",8.0,31.0,2024.0,Idaho,Vandals,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/70.png,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0,Oregon,Ducks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,34,Autzen Stadium,0,Eugene,OR,44.058217799999994,-123.0684379319035
401628331,CFB,36,251,35,Coverage: ESPN,,,99171,,,0,0,0,0,0.0,0,7,24,14,7,0.0,52,3:30 PM,"August 31, 2024",8.0,31.0,2024.0,Colorado State,Rams,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0,Texas,Longhorns,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,35,DKR-Texas Memorial Stadium,0,Austin,TX,,
401628319,CFB,98,333,36,Coverage: ESPN,,,100077,,,0,0,0,0,0.0,0,21,21,14,7,0.0,63,7:00 PM,"August 31, 2024",8.0,31.0,2024.0,Western Kentucky,Hilltoppers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,Alabama,Crimson Tide,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,36,Bryant-Denny Stadium,0,Tuscaloosa,AL,33.2076889,-87.55043991303114
401628325,CFB,231,145,37,Coverage: SECN+/ESPN+,,,66105,,,0,0,0,0,0.0,0,24,28,21,3,0.0,76,7:00 PM,"August 31, 2024",8.0,31.0,2024.0,Furman,Paladins,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0,Ole Miss,Rebels,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,37,Vaught-Hemingway Stadium,0,Oxford,MS,34.36198175,-89.53415232515685
401628332,CFB,87,245,38,Coverage: ABC/ESPN+,,,0,,,3,3,7,10,0.0,23,3,3,0,7,0.0,13,7:30 PM,"August 31, 2024",8.0,31.0,2024.0,Notre Dame,Fighting Irish,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png,FBS Indep.,0.0,0.0,0.0,0.0,0.0,0.0,Texas A&M,Aggies,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,38,Kyle Field,0,College Station,TX,30.6098548,-96.34138739504806
401628457,CFB,213,277,39,Coverage: FOX,,,62084,,,0,20,7,7,0.0,34,0,6,0,6,0.0,12,12:00 PM,"August 31, 2024",8.0,31.0,2024.0,Penn State,Nittany Lions,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0,West Virginia,Mountaineers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0,39,Milan Puskar Stadium,0,Morgantown,WV,39.650184249999995,-79.95498766705104
