team_id,league,name,mascot,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
2309,CFB,Kent State,Golden Flashes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2309.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
99,CFB,LSU,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
103,CFB,Boston College,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
252,CFB,BYU,Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
58,CFB,South Florida,Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png,American,0.0,0.0,0.0,0.0,0.0,0.0
8,CFB,Arkansas,Razorbacks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
25,CFB,California,Golden Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png,Pac-12,0.0,0.0,0.0,0.0,0.0,0.0
2535,CFB,Samford,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0
2635,CFB,Tennessee Tech,Golden Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2635.png,Big South-OVC,0.0,0.0,0.0,0.0,0.0,0.0
2579,CFB,South Carolina,Gamecocks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
2447,CFB,Nicholls,Colonels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2447.png,Southland,0.0,0.0,0.0,0.0,0.0,0.0
