name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
Middle Tennessee,Blue Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png,CUSA,2393,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi State,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png,SEC,344,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo,Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png,MAC,2084,0.0,0.0,0.0,0.0,0.0,0.0
Houston,Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png,Big 12,248,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,Volunteers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png,SEC,2633,0.0,0.0,0.0,0.0,0.0,0.0
Texas,Longhorns,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png,Big 12,251,0.0,0.0,0.0,0.0,0.0,0.0
McNeese,Cowboys,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png,Southland,2377,0.0,0.0,0.0,0.0,0.0,0.0
Alcorn State,Braves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png,SWAC,2016,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,Jayhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png,Big 12,2305,0.0,0.0,0.0,0.0,0.0,0.0
Western Illinois,Leathernecks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2710.png,MVFC,2710,0.0,0.0,0.0,0.0,0.0,0.0
Iowa State,Cyclones,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png,Big 12,66,0.0,0.0,0.0,0.0,0.0,0.0
Michigan State,Spartans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png,Big Ten,127,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,Rams,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png,CAA,227,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,Buffaloes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png,Pac-12,38,0.0,0.0,0.0,0.0,0.0,0.0
Boise State,Broncos,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png,Mountain West,68,0.0,0.0,0.0,0.0,0.0,0.0
Bowling Green,Falcons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png,MAC,189,0.0,0.0,0.0,0.0,0.0,0.0
Utah State,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png,Mountain West,328,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota,Coyotes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/233.png,MVFC,233,0.0,0.0,0.0,0.0,0.0,0.0
UAlbany,Great Danes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png,CAA,399,0.0,0.0,0.0,0.0,0.0,0.0
