schoolID,logoUrl,name,mascot,record,wins,losses,ties,divisionID
218,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&h=2000&w=2000,Temple,Owls,0-0,0,0,0,10
2005,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2005.png&h=2000&w=2000,Air Force,Falcons,0-0,0,0,0,24
145,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png&h=2000&w=2000,Ole Miss,Rebels,0-0,0,0,0,29
275,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&h=2000&w=2000,Wisconsin,Badgers,0-0,0,0,0,17
197,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&h=2000&w=2000,Oklahoma State,Cowboys,0-0,0,0,0,14
254,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&h=2000&w=2000,Utah,Utes,0-0,0,0,0,26
302,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/302.png&h=2000&w=2000,UC Davis,Aggies,0-0,0,0,0,
26,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png&h=2000&w=2000,UCLA,Bruins,0-0,0,0,0,26
2483,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&h=2000&w=2000,Oregon,Ducks,0-0,0,0,0,26
202,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&h=2000&w=2000,Tulsa,Golden Hurricane,0-0,0,0,0,10
87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&h=2000&w=2000,Notre Dame,Fighting Irish,0-0,0,0,0,19
107,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/107.png&h=2000&w=2000,Holy Cross,Crusaders,0-0,0,0,0,
2127,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png&h=2000&w=2000,Charleston Southern,Buccaneers,0-0,0,0,0,
322,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/322.png&h=2000&w=2000,Lafayette,Leopards,0-0,0,0,0,
2572,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png&h=2000&w=2000,Southern Miss,Golden Eagles,0-0,0,0,0,32
2026,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&h=2000&w=2000,Appalachian State,Mountaineers,0-0,0,0,0,31
2132,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&h=2000&w=2000,Cincinnati,Bearcats,0-0,0,0,0,10
2711,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png&h=2000&w=2000,Western Michigan,Broncos,0-0,0,0,0,22
256,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png&h=2000&w=2000,James Madison,Dukes,0-0,0,0,0,31
2116,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&h=2000&w=2000,UCF,Knights,0-0,0,0,0,10
2653,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png&h=2000&w=2000,Troy,Trojans,0-0,0,0,0,32
2567,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&h=2000&w=2000,SMU,Mustangs,0-0,0,0,0,10
248,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png&h=2000&w=2000,Houston,Cougars,0-0,0,0,0,10
2447,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2447.png&h=2000&w=2000,Nicholls,Colonels,0-0,0,0,0,
2184,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png&h=2000&w=2000,Duquesne,Dukes,0-0,0,0,0,
5,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png&h=2000&w=2000,UAB,Blazers,0-0,0,0,0,18
276,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&h=2000&w=2000,Marshall,Thundering Herd,0-0,0,0,0,31
50,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/50.png&h=2000&w=2000,Florida A&M,Rattlers,0-0,0,0,0,
235,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&h=2000&w=2000,Memphis,Tigers,0-0,0,0,0,10
2681,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2681.png&h=2000&w=2000,Wagner,Seahawks,0-0,0,0,0,
309,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&h=2000&w=2000,Louisiana,Ragin' Cajuns,0-0,0,0,0,32
2320,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2320.png&h=2000&w=2000,Lamar,Cardinals,0-0,0,0,0,
160,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/160.png&h=2000&w=2000,New Hampshire,Wildcats,0-0,0,0,0,
79,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png&h=2000&w=2000,Southern Illinois,Salukis,0-0,0,0,0,
2640,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2640.png&h=2000&w=2000,Texas Southern,Tigers,0-0,0,0,0,
2415,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2415.png&h=2000&w=2000,Morgan State,Bears,0-0,0,0,0,
2197,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png&h=2000&w=2000,Eastern Illinois,Panthers,0-0,0,0,0,
2230,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png&h=2000&w=2000,Fordham,Rams,0-0,0,0,0,
331,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/331.png&h=2000&w=2000,Eastern Washington,Eagles,0-0,0,0,0,
70,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/70.png&h=2000&w=2000,Idaho,Vandals,0-0,0,0,0,
2635,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2635.png&h=2000&w=2000,Tennessee Tech,Golden Eagles,0-0,0,0,0,
13,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/13.png&h=2000&w=2000,Cal Poly,Mustangs,0-0,0,0,0,
2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&h=2000&w=2000,Auburn,Tigers,0-0,0,0,0,29
55,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png&h=2000&w=2000,Jacksonville State,Gamecocks,0-0,0,0,0,
249,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png&h=2000&w=2000,North Texas,Mean Green,0-0,0,0,0,18
41,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&h=2000&w=2000,UConn,Huskies,0-0,0,0,0,19
282,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png&h=2000&w=2000,Indiana State,Sycamores,0-0,0,0,0,
2294,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&h=2000&w=2000,Iowa,Hawkeyes,0-0,0,0,0,17
356,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&h=2000&w=2000,Illinois,Fighting Illini,0-0,0,0,0,17
2755,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2755.png&h=2000&w=2000,Grambling,Tigers,0-0,0,0,0,
2429,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2429.png&h=2000&w=2000,Charlotte,49ers,0-0,0,0,0,18
2439,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png&h=2000&w=2000,UNLV,Rebels,0-0,0,0,0,25
2199,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png&h=2000&w=2000,Eastern Michigan,Eagles,0-0,0,0,0,22
12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png&h=2000&w=2000,Arizona,Wildcats,0-0,0,0,0,26
2754,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2754.png&h=2000&w=2000,Youngstown State,Penguins,0-0,0,0,0,
48,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png&h=2000&w=2000,Delaware,Blue Hens,0-0,0,0,0,
231,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png&h=2000&w=2000,Furman,Paladins,0-0,0,0,0,
2046,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png&h=2000&w=2000,Austin Peay,Governors,0-0,0,0,0,
2509,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&h=2000&w=2000,Purdue,Boilermakers,0-0,0,0,0,17
238,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png&h=2000&w=2000,Vanderbilt,Commodores,0-0,0,0,0,28
2277,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2277.png&h=2000&w=2000,Houston Christian,Huskies,0-0,0,0,0,
252,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&h=2000&w=2000,BYU,Cougars,0-0,0,0,0,19
2633,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&h=2000&w=2000,Tennessee,Volunteers,0-0,0,0,0,28
213,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&h=2000&w=2000,Penn State,Nittany Lions,0-0,0,0,0,16
183,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&h=2000&w=2000,Syracuse,Orange,0-0,0,0,0,12
333,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&h=2000&w=2000,Alabama,Crimson Tide,0-0,0,0,0,29
2433,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&h=2000&w=2000,UL Monroe,Warhawks,0-0,0,0,0,32
36,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png&h=2000&w=2000,Colorado State,Rams,0-0,0,0,0,24
21,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png&h=2000&w=2000,San Diego State,Aztecs,0-0,0,0,0,25
16,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png&h=2000&w=2000,Sacramento State,Hornets,0-0,0,0,0,
2428,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png&h=2000&w=2000,North Carolina Central,Eagles,0-0,0,0,0,
2692,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2692.png&h=2000&w=2000,Weber State,Wildcats,0-0,0,0,0,
2458,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png&h=2000&w=2000,Northern Colorado,Bears,0-0,0,0,0,
52,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&h=2000&w=2000,Florida State,Seminoles,0-0,0,0,0,12
2226,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png&h=2000&w=2000,Florida Atlantic,Owls,0-0,0,0,0,18
2678,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2678.png&h=2000&w=2000,VMI,Keydets,0-0,0,0,0,
221,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&h=2000&w=2000,Pittsburgh,Panthers,0-0,0,0,0,13
154,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&h=2000&w=2000,Wake Forest,Demon Deacons,0-0,0,0,0,12
2628,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png&h=2000&w=2000,TCU,Horned Frogs,0-0,0,0,0,14
2305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png&h=2000&w=2000,Kansas,Jayhawks,0-0,0,0,0,14
66,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&h=2000&w=2000,Iowa State,Cyclones,0-0,0,0,0,14
2751,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2751.png&h=2000&w=2000,Wyoming,Cowboys,0-0,0,0,0,24
2627,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2627.png&h=2000&w=2000,Tarleton,Texans,0-0,0,0,0,
201,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&h=2000&w=2000,Oklahoma,Sooners,0-0,0,0,0,14
222,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png&h=2000&w=2000,Villanova,Wildcats,0-0,0,0,0,
