away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id
2115,2309,"{'1': '0', '2': '0', '3': '0', '4': '10', 'total': '10'}","{'1': '14', '2': '7', '3': '17', '4': '0', 'total': '38'}",Dix Stadium,"Kent, OH ",,,,,"Capacity: 25,319","Capacity: 25,319",,,401532404
155,68,"{'1': '0', '2': '6', '3': '12', '4': '0', 'total': '18'}","{'1': '7', '2': '14', '3': '7', '4': '14', 'total': '42'}",Albertsons Stadium,"Boise, ID ",,,,,"Capacity: 36,387","Capacity: 36,387",,,401532582
2678,152,"{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}","{'1': '21', '2': '10', '3': '7', '4': '7', 'total': '45'}",Carter-Finley Stadium,"Raleigh, NC ",,,,,"Capacity: 56,919","Capacity: 56,919",,,401525502
113,2199,"{'1': '0', '2': '3', '3': '7', '4': '7', 'total': '17'}","{'1': '3', '2': '7', '3': '0', '4': '9', 'total': '19'}",Rynearson Stadium,"Ypsilanti, MI ",,,,,"Capacity: 30,200","Capacity: 30,200",,,401526834
2450,218,"{'1': '0', '2': '7', '3': '0', '4': '2', 'total': '9'}","{'1': '14', '2': '14', '3': '10', '4': '3', 'total': '41'}",Lincoln Financial Field,"Philadelphia, PA ",,,,,"Capacity: 69,879","Capacity: 69,879",,,401531388
282,2050,"{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}","{'1': '0', '2': '10', '3': '7', '4': '28', 'total': '45'}",Scheumann Stadium,"Muncie, IN ",,,,,"Capacity: 22,500","Capacity: 22,500",,,401532402
259,164,"{'1': '0', '2': '3', '3': '7', '4': '6', 'total': '16'}","{'1': '7', '2': '14', '3': '0', '4': '14', 'total': '35'}",SHI Stadium,"Piscataway, NJ ",,,,,"Capacity: 52,454","Capacity: 52,454",,,401520243
2229,41,"{'1': '7', '2': '17', '3': '0', '4': '0', 'total': '24'}","{'1': '3', '2': '0', '3': '7', '4': '7', 'total': '17'}",Pratt & Whitney Stadium,"East Hartford, CT ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401520246
151,2026,"{'1': '7', '2': '14', '3': '7', '4': '0', 'total': '28'}","{'1': '10', '2': '6', '3': '20', '4': '7', 'total': '43'}",Kidd Brewer Stadium,"Boone, NC ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531412
2433,245,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '10', '2': '17', '3': '10', '4': '10', 'total': '47'}",Kyle Field,"College Station, TX ",,,,,"Capacity: 102,733","Capacity: 102,733",,,401520245
70,25,"{'1': '10', '2': '7', '3': '0', '4': '0', 'total': '17'}","{'1': '0', '2': '14', '3': '14', '4': '3', 'total': '31'}",California Memorial Stadium,"Berkeley, CA ",,,,,"Capacity: 62,467","Capacity: 62,467",,,401524006
2655,2572,"{'1': '7', '2': '0', '3': '14', '4': '0', 'total': '21'}","{'1': '0', '2': '0', '3': '3', '4': '0', 'total': '3'}",M. M. Roberts Stadium,"Hattiesburg, MS ",,,,,"Capacity: 36,000","Capacity: 36,000",,,401531348
2247,2429,"{'1': '7', '2': '13', '3': '14', '4': '7', 'total': '41'}","{'1': '0', '2': '10', '3': '15', '4': '0', 'total': '25'}",Jerry Richardson Stadium,"Charlotte, NC ",,,,,"Capacity: 15,300","Capacity: 15,300",,,401531403
222,2116,"{'1': '0', '2': '0', '3': '0', '4': '14', 'total': '14'}","{'1': '17', '2': '17', '3': '7', '4': '7', 'total': '48'}",FBC Mortgage Stadium,"Orlando, FL ",,,,,"Capacity: 44,206","Capacity: 44,206",,,401525843
2535,2,"{'1': '0', '2': '0', '3': '13', '4': '0', 'total': '13'}","{'1': '0', '2': '17', '3': '14', '4': '14', 'total': '45'}",Jordan-Hare Stadium,"Auburn, AL ",,,,,"Capacity: 87,451","Capacity: 87,451",,,401520221
249,2348,"{'1': '10', '2': '13', '3': '7', '4': '10', 'total': '40'}","{'1': '0', '2': '14', '3': '0', '4': '23', 'total': '37'}",Joe Aillet Stadium,"Ruston, LA ",,,,,"Capacity: 28,562","Capacity: 28,562",,,401520229
93,2393,"{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}","{'1': '14', '2': '7', '3': '7', '4': '7', 'total': '35'}","Johnny ""Red"" Floyd Stadium","Murfreesboro, TN ",,,,,"Capacity: 30,788","Capacity: 30,788",,,401520234
2459,158,"{'1': '3', '2': '0', '3': '0', '4': '8', 'total': '11'}","{'1': '7', '2': '7', '3': '7', '4': '14', 'total': '35'}","Memorial Stadium (Lincoln, NE)","Lincoln, NE ",,,,,"Capacity: 85,458","Capacity: 85,458",,,401520237
238,2439,"{'1': '10', '2': '7', '3': '0', '4': '20', 'total': '37'}","{'1': '0', '2': '20', '3': '10', '4': '10', 'total': '40'}",Allegiant Stadium,"Las Vegas, NV ",,,,,"Capacity: 65,000","Capacity: 65,000",,,401520247
193,2132,"{'1': '7', '2': '7', '3': '7', '4': '3', 'total': '7'}","{'1': '10', '2': '3', '3': '3', '4': '8', 'total': '0'}",Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Capacity: 38,088",,,401525835
6,197,"{'1': '10', '2': '13', '3': '0', '4': '10', 'total': '33'}","{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}",Boone Pickens Stadium,"Stillwater, OK ",,,,,"Capacity: 55,509","Capacity: 55,509",,,401525839
2627,2641,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '21', '2': '3', '3': '10', '4': '7', 'total': '41'}",Jones AT&T Stadium,"Lubbock, TX ",,,,,"Capacity: 60,454","Capacity: 60,454",,,401525841
309,5,"{'1': '0', '2': '24', '3': '10', '4': '7', 'total': '41'}","{'1': '0', '2': '0', '3': '3', '4': '18', 'total': '21'}",Protective Stadium,"Birmingham, AL ",,,,,"Capacity: 47,100","Capacity: 47,100",,,401531379
2504,2567,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '14', '2': '28', '3': '21', '4': '6', 'total': '69'}",Gerald J. Ford Stadium,"Dallas, TX ",,,,,"Capacity: 32,000","Capacity: 32,000",,,401531438
2640,242,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '28', '2': '14', '3': '10', '4': '7', 'total': '59'}",Rice Stadium,"Houston, TX ",,,,,"Capacity: 47,000","Capacity: 47,000",,,401531441
2184,324,"{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}","{'1': '21', '2': '24', '3': '21', '4': '0', 'total': '66'}",,"Conway, SC ",,,,,"Capacity: 21,000","Capacity: 21,000",,,401531845
2619,2032,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '17', '2': '0', '3': '7', '4': '7', 'total': '31'}",Centennial Bank Stadium,"Jonesboro, AR ",,,,,"Capacity: 30,406","Capacity: 30,406",,,401531846
256,2653,"{'1': '3', '2': '10', '3': '3', '4': '0', 'total': '16'}","{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}",Veterans Memorial Stadium (AL),"Troy, AL ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531848
23,2649,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '0', '2': '7', '3': '14', '4': '0', 'total': '21'}",Glass Bowl,"Toledo, OH ",,,,,"Capacity: 26,038","Capacity: 26,038",,,401532403
252,8,"{'1': '14', '2': '7', '3': '10', '4': '7', 'total': '38'}","{'1': '14', '2': '10', '3': '7', '4': '0', 'total': '31'}",Razorback Stadium,"Fayetteville, AR ",,,,,"Capacity: 72,000","Capacity: 72,000",,,401520220
2006,96,"{'1': '0', '2': '0', '3': '3', '4': '0', 'total': '3'}","{'1': '7', '2': '7', '3': '7', '4': '14', 'total': '35'}",Kroger Field,"Lexington, KY ",,,,,"Capacity: 61,000","Capacity: 61,000",,,401520228
183,2509,"{'1': '7', '2': '14', '3': '0', '4': '14', 'total': '35'}","{'1': '0', '2': '7', '3': '7', '4': '6', 'total': '20'}",Ross-Ade Stadium,"West Lafayette, IN ",,,,,"Capacity: 57,282","Capacity: 57,282",,,401520242
221,277,"{'1': '3', '2': '3', '3': '0', '4': '0', 'total': '6'}","{'1': '0', '2': '7', '3': '10', '4': '0', 'total': '17'}",Milan Puskar Stadium,"Morgantown, WV ",,,,,"Capacity: 60,000","Capacity: 60,000",,,401525503
166,167,"{'1': '0', '2': '17', '3': '3', '4': '7', 'total': '27'}","{'1': '3', '2': '7', '3': '0', '4': '7', 'total': '17'}",University Stadium (NM),"Albuquerque, NM ",,,,,"Capacity: 37,440","Capacity: 37,440",,,401520238
16,24,"{'1': '3', '2': '14', '3': '3', '4': '10', 'total': '30'}","{'1': '7', '2': '7', '3': '3', '4': '6', 'total': '23'}",Stanford Stadium,"Stanford, CA ",,,,,"Capacity: 50,424","Capacity: 50,424",,,401524010
2226,228,"{'1': '0', '2': '0', '3': '0', '4': '14', 'total': '14'}","{'1': '20', '2': '14', '3': '7', '4': '7', 'total': '48'}","Memorial Stadium (Clemson, SC)","Clemson, SC ",,,,,"Capacity: 81,500","Capacity: 81,500",,,401525501
2628,248,"{'1': '7', '2': '13', '3': '9', '4': '7', 'total': '36'}","{'1': '3', '2': '10', '3': '0', '4': '0', 'total': '13'}",TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401525836
2296,326,"{'1': '6', '2': '14', '3': '7', '4': '7', 'total': '34'}","{'1': '21', '2': '35', '3': '7', '4': '14', 'total': '77'}",Bobcat Stadium (TX),"San Marcos, TX ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531847
278,9,"{'1': '10', '2': '6', '3': '10', '4': '3', 'total': '29'}","{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}",Mountain America Stadium,"Tempe, AZ ",,,,,"Capacity: 53,599","Capacity: 53,599",,,401524005
2305,2440,"{'1': '7', '2': '3', '3': '14', '4': '7', 'total': '31'}","{'1': '0', '2': '10', '3': '7', '4': '7', 'total': '24'}",Mackay Stadium,"Reno, NV ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401525837
2638,12,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '0', '2': '14', '3': '10', '4': '7', 'total': '31'}",Arizona Stadium,"Tucson, AZ ",,,,,"Capacity: 50,782","Capacity: 50,782",,,401520219
2247,324,"{'1': '7', '2': '10', '3': '3', '4': '10', 'total': '30'}","{'1': '3', '2': '0', '3': '7', '4': '7', 'total': '17'}",,"Conway, SC ",,,,,"Capacity: 21,000","Capacity: 21,000",,,401531849
275,2509,"{'1': '14', '2': '7', '3': '6', '4': '11', 'total': '38'}","{'1': '3', '2': '0', '3': '14', '4': '0', 'total': '17'}",Ross-Ade Stadium,"West Lafayette, IN ",,,,,"Capacity: 57,282","Capacity: 57,282",,,401520266
152,258,"{'1': '0', '2': '14', '3': '7', '4': '3', 'total': '24'}","{'1': '0', '2': '7', '3': '6', '4': '8', 'total': '21'}",Scott Stadium,"Charlottesville, VA ",,,,,"Capacity: 61,500","Capacity: 61,500",,,401525505
68,21,"{'1': '0', '2': '17', '3': '10', '4': '7', 'total': '34'}","{'1': '7', '2': '10', '3': '0', '4': '14', 'total': '31'}",Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Capacity: 35,000",,,401532583
2005,23,"{'1': '3', '2': '14', '3': '7', '4': '21', 'total': '45'}","{'1': '6', '2': '14', '3': '0', '4': '0', 'total': '20'}",CEFCU Stadium,"San Jose, CA ",,,,,"Capacity: 30,456","Capacity: 30,456",,,401532584
5,61,"{'1': '0', '2': '14', '3': '0', '4': '7', 'total': '21'}","{'1': '7', '2': '21', '3': '14', '4': '7', 'total': '49'}",Sanford Stadium,"Athens, GA ",,,,,"Capacity: 92,746","Capacity: 92,746",,,401520252
164,130,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '7', '2': '7', '3': '10', '4': '7', 'total': '31'}",Michigan Stadium,"Ann Arbor, MI ",,,,,"Capacity: 107,601","Capacity: 107,601",,,401520260
251,239,"{'1': '7', '2': '21', '3': '10', '4': '0', 'total': '38'}","{'1': '3', '2': '3', '3': '0', '4': '0', 'total': '6'}",McLane Stadium,"Waco, TX ",,,,,"Capacity: 45,140","Capacity: 45,140",,,401525844
52,228,"{'1': '0', '2': '14', '3': '10', '4': '0', 'total': '7'}","{'1': '3', '2': '14', '3': '7', '4': '0', 'total': '0'}","Memorial Stadium (Clemson, SC)","Clemson, SC ",,,,,"Capacity: 81,500","Capacity: 81,500",,,401525507
30,9,"{'1': '14', '2': '7', '3': '6', '4': '15', 'total': '42'}","{'1': '7', '2': '6', '3': '8', '4': '7', 'total': '28'}",Mountain America Stadium,"Tempe, AZ ",,,,,"Capacity: 53,599","Capacity: 53,599",,,401524014
194,87,"{'1': '0', '2': '3', '3': '7', '4': '7', 'total': '17'}","{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}",Notre Dame Stadium,"Notre Dame, IN ",,,,,"Capacity: 80,795","Capacity: 80,795",,,401521330
2294,213,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '3', '2': '7', '3': '14', '4': '7', 'total': '31'}",Beaver Stadium,"University Park, PA ",,,,,"Capacity: 106,572","Capacity: 106,572",,,401520265
25,264,"{'1': '6', '2': '6', '3': '7', '4': '13', 'total': '32'}","{'1': '24', '2': '21', '3': '7', '4': '7', 'total': '59'}",Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Capacity: 70,138",,,401524018
38,2483,"{'1': '0', '2': '0', '3': '0', '4': '6', 'total': '6'}","{'1': '13', '2': '22', '3': '7', '4': '0', 'total': '42'}",Autzen Stadium,"Eugene, OR ",,,,,"Capacity: 54,000","Capacity: 54,000",,,401524015
26,254,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}",Rice-Eccles Stadium,"Salt Lake City, UT ",,,,,"Capacity: 51,444","Capacity: 51,444",,,401524017
8,99,"{'1': '3', '2': '10', '3': '3', '4': '15', 'total': '31'}","{'1': '0', '2': '10', '3': '14', '4': '10', 'total': '34'}",Tiger Stadium (LA),"Baton Rouge, LA ",,,,,"Capacity: 102,321","Capacity: 102,321",,,401520258
145,333,"{'1': '7', '2': '0', '3': '3', '4': '0', 'total': '10'}","{'1': '3', '2': '3', '3': '11', '4': '7', 'total': '24'}",Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Capacity: 100,077",,,401520250
204,265,"{'1': '7', '2': '7', '3': '0', '4': '21', 'total': '35'}","{'1': '14', '2': '14', '3': '7', '4': '3', 'total': '38'}",Gesa Field,"Pullman, WA ",,,,,"Capacity: 32,952","Capacity: 32,952",,,401524019
201,2132,"{'1': '7', '2': '3', '3': '7', '4': '3', 'total': '20'}","{'1': '3', '2': '0', '3': '3', '4': '0', 'total': '6'}",Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Capacity: 38,088",,,401525845
153,221,"{'1': '7', '2': '21', '3': '13', '4': '0', 'total': '41'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}",Acrisure Stadium,"Pittsburgh, PA ",,,,,"Capacity: 68,400","Capacity: 68,400",,,401525510
150,41,"{'1': '7', '2': '20', '3': '14', '4': '0', 'total': '41'}","{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}",Pratt & Whitney Stadium,"East Hartford, CT ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401520272
2390,218,"{'1': '7', '2': '17', '3': '14', '4': '3', 'total': '41'}","{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}",Lincoln Financial Field,"Philadelphia, PA ",,,,,"Capacity: 69,879","Capacity: 69,879",,,401525509
2636,2633,"{'1': '0', '2': '0', '3': '14', '4': '0', 'total': '14'}","{'1': '14', '2': '17', '3': '0', '4': '14', 'total': '45'}",Neyland Stadium,"Knoxville, TN ",,,,,"Capacity: 101,915","Capacity: 101,915",,,401520269
2429,57,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '10', '2': '6', '3': '3', '4': '3', 'total': '22'}",Ben Hill Griffin Stadium,"Gainesville, FL ",,,,,"Capacity: 88,548","Capacity: 88,548",,,401520251
349,183,"{'1': '7', '2': '3', '3': '0', '4': '6', 'total': '16'}","{'1': '0', '2': '3', '3': '13', '4': '13', 'total': '29'}",JMA Wireless Dome,"Syracuse, NY ",,,,,"Capacity: 49,057","Capacity: 49,057",,,401520268
2,245,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '6', '2': '0', '3': '14', '4': '7', 'total': '27'}",Kyle Field,"College Station, TX ",,,,,"Capacity: 102,733","Capacity: 102,733",,,401520270
98,2653,"{'1': '7', '2': '0', '3': '7', '4': '10', 'total': '24'}","{'1': '0', '2': '10', '3': '10', '4': '7', 'total': '27'}",Veterans Memorial Stadium (AL),"Troy, AL ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401520271
96,238,"{'1': '21', '2': '3', '3': '7', '4': '14', 'total': '45'}","{'1': '0', '2': '10', '3': '3', '4': '15', 'total': '28'}",FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Capacity: 40,350",,,401520274
259,276,"{'1': '7', '2': '3', '3': '0', '4': '7', 'total': '17'}","{'1': '0', '2': '17', '3': '7', '4': '0', 'total': '24'}",Joan C. Edwards Stadium,"Huntington, WV ",,,,,"Capacity: 38,016","Capacity: 38,016",,,401525511
2567,2628,"{'1': '3', '2': '7', '3': '0', '4': '7', 'total': '17'}","{'1': '7', '2': '7', '3': '13', '4': '7', 'total': '34'}",Amon G. Carter Stadium,"Fort Worth, TX ",,,,,"Capacity: 46,000","Capacity: 46,000",,,401525849
202,2459,"{'1': '2', '2': '7', '3': '3', '4': '10', 'total': '22'}","{'1': '0', '2': '7', '3': '7', '4': '0', 'total': '14'}",Huskie Stadium,"Dekalb, IL ",,,,,"Capacity: 23,595","Capacity: 23,595",,,401531338
2711,2649,"{'1': '7', '2': '17', '3': '0', '4': '7', 'total': '31'}","{'1': '14', '2': '0', '3': '14', '4': '21', 'total': '49'}",Glass Bowl,"Toledo, OH ",,,,,"Capacity: 26,038","Capacity: 26,038",,,401532406
290,2050,"{'1': '14', '2': '9', '3': '10', '4': '7', 'total': '40'}","{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}",Scheumann Stadium,"Muncie, IN ",,,,,"Capacity: 22,500","Capacity: 22,500",,,401531871
2226,356,"{'1': '10', '2': '0', '3': '0', '4': '7', 'total': '17'}","{'1': '0', '2': '14', '3': '9', '4': '0', 'total': '23'}","Memorial Stadium (Champaign, IL)","Champaign, IL ",,,,,"Capacity: 60,670","Capacity: 60,670",,,401520255
120,127,"{'1': '7', '2': '14', '3': '0', '4': '10', 'total': '31'}","{'1': '0', '2': '3', '3': '6', '4': '0', 'total': '9'}",Spartan Stadium,"East Lansing, MI ",,,,,"Capacity: 75,005","Capacity: 75,005",,,401520261
2348,158,"{'1': '0', '2': '7', '3': '0', '4': '7', 'total': '14'}","{'1': '0', '2': '7', '3': '7', '4': '14', 'total': '28'}","Memorial Stadium (Lincoln, NE)","Lincoln, NE ",,,,,"Capacity: 85,458","Capacity: 85,458",,,401520263
103,97,"{'1': '0', '2': '14', '3': '7', '4': '7', 'total': '28'}","{'1': '14', '2': '28', '3': '14', '4': '0', 'total': '56'}",Cardinal Stadium,"Louisville, KY ",,,,,"Capacity: 60,000","Capacity: 60,000",,,401525506
252,2305,"{'1': '7', '2': '10', '3': '3', '4': '7', 'total': '27'}","{'1': '14', '2': '0', '3': '14', '4': '10', 'total': '38'}",David Booth Kansas Memorial Stadium,"Lawrence, KS ",,,,,"Capacity: 47,000","Capacity: 47,000",,,401525847
2641,277,"{'1': '3', '2': '0', '3': '0', '4': '10', 'total': '13'}","{'1': '7', '2': '6', '3': '0', '4': '7', 'total': '20'}",Milan Puskar Stadium,"Morgantown, WV ",,,,,"Capacity: 60,000","Capacity: 60,000",,,401525850
167,113,"{'1': '14', '2': '14', '3': '0', '4': '0', 'total': '6'}","{'1': '0', '2': '14', '3': '3', '4': '11', 'total': '3'}",Warren McGuirk Alumni Stadium,"Amherst, MA ",,,,,"Capacity: 17,000","Capacity: 17,000",,,401526835
2837,295,"{'1': '0', '2': '0', '3': '3', '4': '6', 'total': '9'}","{'1': '0', '2': '0', '3': '7', '4': '3', 'total': '10'}",S.B. Ballard Stadium,"Norfolk, VA ",,,,,"Capacity: 21,944","Capacity: 21,944",,,401531873
195,189,"{'1': '21', '2': '10', '3': '7', '4': '0', 'total': '38'}","{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}",Doyt L. Perry Stadium,"Bowling Green, OH ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401532405
2169,193,"{'1': '7', '2': '6', '3': '7', '4': '0', 'total': '20'}","{'1': '17', '2': '17', '3': '21', '4': '7', 'total': '62'}",Yager Stadium,"Oxford, OH ",,,,,"Capacity: 24,286","Capacity: 24,286",,,401532408
197,66,"{'1': '7', '2': '10', '3': '3', '4': '7', 'total': '27'}","{'1': '7', '2': '13', '3': '7', '4': '7', 'total': '34'}",Jack Trice Stadium,"Ames, IA ",,,,,"Capacity: 61,500","Capacity: 61,500",,,401525846
242,58,"{'1': '7', '2': '7', '3': '7', '4': '8', 'total': '29'}","{'1': '3', '2': '10', '3': '14', '4': '15', 'total': '42'}",Raymond James Stadium,"Tampa, FL ",,,,,"Capacity: 65,844","Capacity: 65,844",,,401531423
2199,55,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '7', '3': '7', '4': '0', 'total': '21'}",,"Jacksonville, AL ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401520257
2117,6,"{'1': '0', '2': '13', '3': '7', '4': '14', 'total': '34'}","{'1': '14', '2': '0', '3': '3', '4': '13', 'total': '30'}",Hancock Whitney Stadium,"Mobile, AL ",,,,,"Capacity: 25,450","Capacity: 25,450",,,401531876
2241,151,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '13', '2': '10', '3': '7', '4': '14', 'total': '44'}",Dowdy-Ficklen Stadium,"Greenville, NC ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401531413
2335,2229,"{'1': '14', '2': '10', '3': '14', '4': '0', 'total': '38'}","{'1': '6', '2': '0', '3': '0', '4': '0', 'total': '6'}",Riccardo Silva Stadium,"Miami, FL ",,,,,"Capacity: 20,000","Capacity: 20,000",,,401520275
59,154,"{'1': '7', '2': '13', '3': '0', '4': '10', 'total': '30'}","{'1': '3', '2': '0', '3': '6', '4': '7', 'total': '16'}",Allegacy Federal Credit Union Stadium,"Winston-Salem, NC ",,,,,"Capacity: 31,500","Capacity: 31,500",,,401525508
2534,248,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '10', '2': '14', '3': '7', '4': '7', 'total': '38'}",TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401520254
36,2393,"{'1': '10', '2': '0', '3': '7', '4': '14', 'total': '31'}","{'1': '10', '2': '7', '3': '0', '4': '6', 'total': '23'}","Johnny ""Red"" Floyd Stadium","Murfreesboro, TN ",,,,,"Capacity: 30,788","Capacity: 30,788",,,401520262
12,24,"{'1': '0', '2': '7', '3': '7', '4': '7', 'total': '21'}","{'1': '3', '2': '7', '3': '7', '4': '3', 'total': '20'}",Stanford Stadium,"Stanford, CA ",,,,,"Capacity: 50,424","Capacity: 50,424",,,401524016
2447,2655,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '17', '2': '10', '3': '6', '4': '3', 'total': '36'}",Yulman Stadium,"New Orleans, LA ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531349
2026,2751,"{'1': '6', '2': '6', '3': '0', '4': '7', 'total': '19'}","{'1': '0', '2': '7', '3': '0', '4': '15', 'total': '22'}",Jonah Field at War Memorial Stadium,"Laramie, WY ",,,,,"Capacity: 29,181","Capacity: 29,181",,,401531870
2572,2032,"{'1': '7', '2': '10', '3': '10', '4': '10', 'total': '37'}","{'1': '14', '2': '6', '3': '14', '4': '10', 'total': '44'}",Centennial Bank Stadium,"Jonesboro, AR ",,,,,"Capacity: 30,406","Capacity: 30,406",,,401531874
2440,326,"{'1': '10', '2': '7', '3': '0', '4': '7', 'total': '24'}","{'1': '0', '2': '0', '3': '21', '4': '14', 'total': '35'}",Bobcat Stadium (TX),"San Marcos, TX ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531877
2006,84,"{'1': '0', '2': '3', '3': '7', '4': '7', 'total': '10'}","{'1': '0', '2': '7', '3': '7', '4': '3', 'total': '12'}","Memorial Stadium (Bloomington, IN)","Bloomington, IN ",,,,,"Capacity: 52,656","Capacity: 52,656",,,401520256
235,142,"{'1': '10', '2': '0', '3': '7', '4': '10', 'total': '27'}","{'1': '7', '2': '10', '3': '7', '4': '10', 'total': '34'}",The Dome at America's Center,"St. Louis, MO ",,,,,"Capacity: 66,000","Capacity: 66,000",,,401520259
135,77,"{'1': '7', '2': '17', '3': '7', '4': '0', 'total': '3'}","{'1': '0', '2': '7', '3': '3', '4': '21', 'total': '6'}",Ryan Field,"Evanston, IL ",,,,,"Capacity: 47,130","Capacity: 47,130",,,401520264
344,2579,"{'1': '0', '2': '17', '3': '10', '4': '3', 'total': '30'}","{'1': '7', '2': '13', '3': '7', '4': '10', 'total': '37'}",Williams-Brice Stadium,"Columbia, SC ",,,,,"Capacity: 77,559","Capacity: 77,559",,,401520267
2084,309,"{'1': '0', '2': '0', '3': '21', '4': '17', 'total': '38'}","{'1': '7', '2': '3', '3': '21', '4': '14', 'total': '45'}",Cajun Field,"Lafayette, LA ",,,,,"Capacity: 41,426","Capacity: 41,426",,,401531875
2116,2306,"{'1': '10', '2': '7', '3': '7', '4': '7', 'total': '31'}","{'1': '7', '2': '14', '3': '10', '4': '13', 'total': '44'}",Bill Snyder Family Stadium,"Manhattan, KS ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401525848
256,328,"{'1': '17', '2': '21', '3': '0', '4': '7', 'total': '45'}","{'1': '0', '2': '17', '3': '14', '4': '7', 'total': '38'}",Maverik Stadium,"Logan, UT ",,,,,"Capacity: 25,513","Capacity: 25,513",,,401531872
2439,2638,"{'1': '14', '2': '14', '3': '0', '4': '17', 'total': '45'}","{'1': '7', '2': '7', '3': '7', '4': '7', 'total': '28'}",Sun Bowl,"El Paso, TX ",,,,,"Capacity: 45,971","Capacity: 45,971",,,401520273
2309,278,"{'1': '7', '2': '3', '3': '0', '4': '0', 'total': '10'}","{'1': '22', '2': '14', '3': '14', '4': '3', 'total': '53'}",Bulldog Stadium (CA),"Fresno, CA ",,,,,"Capacity: 40,727","Capacity: 40,727",,,401532407
166,62,"{'1': '7', '2': '10', '3': '0', '4': '0', 'total': '17'}","{'1': '0', '2': '3', '3': '7', '4': '10', 'total': '20'}",,"Honolulu, HI ",,,,,"Capacity: 17,000","Capacity: 17,000",,,401520253
2393,98,"{'1': '0', '2': '3', '3': '7', '4': '0', 'total': '10'}","{'1': '10', '2': '13', '3': '0', '4': '8', 'total': '31'}",Houchens Industries-L.T. Smith Stadium,"Bowling Green, KY ",,,,,"Capacity: 23,776","Capacity: 23,776",,,401520277
