away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id
2029,202,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '0', '2': '28', '3': '7', '4': '7', 'total': '42'}",Chapman Stadium,"Tulsa, OK ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531337
2448,5,"{'1': '3', '2': '0', '3': '0', '4': '3', 'total': '6'}","{'1': '7', '2': '14', '3': '7', '4': '7', 'total': '35'}",Protective Stadium,"Birmingham, AL ",,,,,"Capacity: 47,100","Capacity: 47,100",,,401531377
253,9,"{'1': '0', '2': '7', '3': '7', '4': '7', 'total': '21'}","{'1': '7', '2': '14', '3': '0', '4': '3', 'total': '24'}",Mountain America Stadium,"Tempe, AZ ",,,,,"Capacity: 53,599","Capacity: 53,599",,,401523987
47,2199,"{'1': '0', '2': '9', '3': '14', '4': '0', 'total': '23'}","{'1': '16', '2': '14', '3': '0', '4': '3', 'total': '33'}",Rynearson Stadium,"Ypsilanti, MI ",,,,,"Capacity: 30,200","Capacity: 30,200",,,401532394
2117,127,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '0', '2': '10', '3': '7', '4': '14', 'total': '31'}",Spartan Stadium,"East Lansing, MI ",,,,,"Capacity: 75,005","Capacity: 75,005",,,401520163
193,2390,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '10', '2': '6', '3': '8', '4': '14', 'total': '38'}",Hard Rock Stadium,"Miami Gardens, FL ",,,,,"Capacity: 64,992","Capacity: 64,992",,,401525463
97,59,"{'1': '6', '2': '7', '3': '10', '4': '16', 'total': '39'}","{'1': '0', '2': '28', '3': '0', '4': '6', 'total': '34'}",Mercedes-Benz Stadium,"Atlanta, GA ",,,,,"Capacity: 75,000","Capacity: 75,000",,,401525462
2623,2305,"{'1': '7', '2': '3', '3': '0', '4': '7', 'total': '17'}","{'1': '7', '2': '10', '3': '10', '4': '21', 'total': '48'}",David Booth Kansas Memorial Stadium,"Lawrence, KS ",,,,,"Capacity: 47,000","Capacity: 47,000",,,401525815
24,62,"{'1': '7', '2': '14', '3': '6', '4': '10', 'total': '37'}","{'1': '0', '2': '10', '3': '0', '4': '14', 'total': '24'}",,"Honolulu, HI ",,,,,"Capacity: 17,000","Capacity: 17,000",,,401523988
2630,61,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '10', '3': '14', '4': '17', 'total': '48'}",Sanford Stadium,"Athens, GA ",,,,,"Capacity: 92,746","Capacity: 92,746",,,401520154
