away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id,away_team_id,home_team_id,away_team_box_score,home_team_box_score
,,,,Gerald J. Ford Stadium,"Dallas, TX ",,,,,"Capacity: 32,000","Attendance: 21,490",,,401520172,2348,2567,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '14', '2': '17', '3': '0', '4': '7', 'total': '38'}"
,,,,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA ",,,,,"Capacity: 44,500","Attendance: 30,122",,,401525464,2459,103,"{'1': '0', '2': '7', '3': '7', '4': '7', 'total': '6'}","{'1': '0', '2': '0', '3': '7', '4': '14', 'total': '3'}"
,,,,Peden Stadium,"Athens, OH ",,,,,"Capacity: 24,000","Attendance: 18,453",,,401532395,2341,195,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '3', '2': '14', '3': '10', '4': '0', 'total': '27'}"
,,,,,"Little Rock, AR ",,,,,"Capacity: 54,120","Attendance: 44,397",,,401520150,2717,8,"{'1': '3', '2': '0', '3': '7', '4': '3', 'total': '13'}","{'1': '21', '2': '14', '3': '7', '4': '14', 'total': '56'}"
,,,,Falcon Stadium,"USAF Academy, CO ",,,,,"Capacity: 46,692","Attendance: 30,142",,,401532570,2523,2005,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}"
,,,,,"Jacksonville, AL ",,,,,"Capacity: 24,000","Attendance: 21,276",,,401520158,2193,55,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '14', '2': '7', '3': '21', '4': '7', 'total': '49'}"
,,,,Jack Trice Stadium,"Ames, IA ",,,,,"Capacity: 61,500","Attendance: 58,248",,,401525820,2460,66,"{'1': '0', '2': '0', '3': '3', '4': '6', 'total': '9'}","{'1': '14', '2': '9', '3': '7', '4': '0', 'total': '30'}"
,,,,Lincoln Financial Field,"Philadelphia, PA ",,,,,"Capacity: 69,879","Attendance: 12,456",,,401531387,2006,218,"{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}","{'1': '0', '2': '10', '3': '6', '4': '8', 'total': '24'}"
,,,,Jordan-Hare Stadium,"Auburn, AL ",,,,,"Capacity: 87,451","Attendance: 88,043",,,401520151,113,2,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '10', '2': '21', '3': '21', '4': '7', 'total': '59'}"
,,,,SECU Stadium,"College Park, MD ",,,,,"Capacity: 54,000","Attendance: 37,241",,,401520161,119,120,"{'1': '0', '2': '3', '3': '3', '4': '0', 'total': '6'}","{'1': '21', '2': '7', '3': '7', '4': '3', 'total': '38'}"
,,,,Houchens Industries-L.T. Smith Stadium,"Bowling Green, KY ",,,,,"Capacity: 23,776","Attendance: 15,438",,,401520181,58,98,"{'1': '14', '2': '3', '3': '7', '4': '0', 'total': '24'}","{'1': '7', '2': '10', '3': '14', '4': '10', 'total': '41'}"
,,,,Acrisure Stadium,"Pittsburgh, PA ",,,,,"Capacity: 68,400","Attendance: 45,096",,,401525465,2747,221,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '21', '3': '10', '4': '7', 'total': '45'}"
,,,,Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Attendance: 38,193",,,401525818,2198,2132,"{'1': '0', '2': '7', '3': '3', '4': '3', 'total': '13'}","{'1': '21', '2': '21', '3': '10', '4': '14', 'total': '66'}"
,,,,Kidd Brewer Stadium,"Boone, NC ",,,,,"Capacity: 30,000","Attendance: 36,075",,,401531835,2241,2026,"{'1': '0', '2': '10', '3': '14', '4': '0', 'total': '24'}","{'1': '7', '2': '7', '3': '17', '4': '14', 'total': '45'}"
,,,,Davis Wade Stadium,"Starkville, MS ",,,,,"Capacity: 61,337","Attendance: 50,041",,,401520164,2545,344,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '3', '2': '17', '3': '7', '4': '21', 'total': '48'}"
,,,,DATCU Stadium,"Denton, TX ",,,,,"Capacity: 30,850","Attendance: 21,350",,,401523991,25,249,"{'1': '14', '2': '19', '3': '15', '4': '10', 'total': '58'}","{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}"
,,,,JMA Wireless Dome,"Syracuse, NY ",,,,,"Capacity: 49,057","Attendance: 32,465",,,401525466,2142,183,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '23', '2': '14', '3': '28', '4': '0', 'total': '65'}"
,,,,Allegiant Stadium,"Las Vegas, NV ",,,,,"Capacity: 65,000","Attendance: 20,347",,,401532572,2803,2439,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '17', '2': '7', '3': '17', '4': '3', 'total': '44'}"
,,,,Jerry Richardson Stadium,"Charlotte, NC ",,,,,"Capacity: 15,300","Attendance: 15,622",,,401531402,2569,2429,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '0', '2': '17', '3': '0', '4': '7', 'total': '24'}"
,,,,FAU Stadium,"Boca Raton, FL ",,,,,"Capacity: 29,571","Attendance: 20,893",,,401531418,2405,2226,"{'1': '7', '2': '7', '3': '0', '4': '6', 'total': '20'}","{'1': '14', '2': '14', '3': '14', '4': '0', 'total': '42'}"
,,,,,"Statesboro, GA ",,,,,"Capacity: 25,000","Attendance: 17,803",,,401531836,2643,290,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '14', '2': '10', '3': '7', '4': '3', 'total': '34'}"
,,,,,"Harrisonburg, VA ",,,,,"Capacity: 24,877","Attendance: 23,756",,,401531837,2083,256,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '3', '2': '14', '3': '7', '4': '14', 'total': '38'}"
,,,,Joan C. Edwards Stadium,"Huntington, WV ",,,,,"Capacity: 38,016","Attendance: 25,101",,,401531838,399,276,"{'1': '0', '2': '3', '3': '14', '4': '0', 'total': '17'}","{'1': '0', '2': '0', '3': '14', '4': '7', 'total': '21'}"
,,,,Riccardo Silva Stadium,"Miami, FL ",,,,,"Capacity: 20,000","Attendance: 16,878",,,401520153,311,2229,"{'1': '3', '2': '3', '3': '6', '4': '0', 'total': '12'}","{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}"
,,,,,"Monroe, LA ",,,,,"Capacity: 30,427","Attendance: 18,914",,,401520175,349,2433,"{'1': '0', '2': '10', '3': '0', '4': '3', 'total': '13'}","{'1': '0', '2': '3', '3': '0', '4': '14', 'total': '17'}"
,,,,FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Attendance: 22,035",,,401520178,2010,238,"{'1': '3', '2': '0', '3': '7', '4': '3', 'total': '13'}","{'1': '5', '2': '7', '3': '14', '4': '21', 'total': '47'}"
